Format Version,1.23,Take Name,5-6-SID-roll2,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-05-06 08.30.54.933 AM,Capture Start Frame,172841,Total Frames in Take,51877,Total Exported Frames,51877,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone
,ID,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
205,1.708000,-0.305064,0.209219,0.027416,-0.033523,0.232983,0.724004
206,1.717000,-0.310115,0.202102,0.008130,-0.033526,0.232989,0.723996
207,1.725000,-0.295002,0.205591,0.035228,-0.033533,0.232974,0.724007
208,1.733000,-0.299838,0.208014,0.024105,-0.033528,0.232982,0.724006
209,1.742000,-0.316762,0.196676,0.014477,-0.033529,0.232987,0.723997
210,1.750000,-0.313253,0.201064,0.015758,-0.033522,0.232990,0.723998
211,1.758000,-0.317613,0.196070,0.013861,-0.033525,0.232989,0.723993
212,1.767000,-0.309871,0.202939,0.017805,-0.033523,0.232983,0.723997
213,1.775000,-0.313635,0.198506,0.014595,-0.033529,0.232985,0.723999
214,1.783000,-0.316555,0.196359,0.016386,-0.033529,0.232989,0.723996
215,1.792000,-0.312055,0.200410,0.016616,-0.033529,0.232990,0.723992
216,1.800000,-0.309079,0.198490,0.009006,-0.033528,0.232988,0.723997
217,1.808000,-0.290471,0.210304,0.035653,-0.033527,0.232973,0.724010
218,1.817000,-0.305248,0.202843,0.022430,-0.033524,0.232980,0.723998
219,1.825000,-0.309821,0.210139,0.022247,-0.033526,0.232987,0.723995
220,1.833000,-0.311620,0.204171,0.016328,-0.033525,0.232986,0.723995
221,1.842000,-0.288379,0.200967,0.029457,-0.033532,0.232969,0.724007
222,1.850000,-0.303042,0.209154,0.018850,-0.033525,0.232980,0.724000
223,1.858000,-0.311096,0.209628,0.015551,-0.033523,0.232983,0.723998
224,1.867000,-0.312077,0.202661,0.011296,-0.033525,0.232989,0.724000
225,1.875000,-0.293277,0.213100,0.030180,-0.033523,0.232977,0.724008
226,1.883000,-0.305628,0.210262,0.018051,-0.033529,0.232980,0.723996
227,1.892000,-0.312466,0.204581,0.015964,-0.033526,0.232990,0.723995
228,1.900000,-0.310517,0.205250,0.017381,-0.033523,0.232983,0.724001
229,1.908000,-0.311393,0.206788,0.015630,-0.033526,0.232986,0.723995
230,1.917000,-0.295837,0.209908,0.030867,-0.033528,0.232978,0.724007
231,1.925000,-0.301967,0.210807,0.019011,-0.033523,0.232979,0.724002
232,1.933000,-0.308258,0.206911,0.016711,-0.033521,0.232985,0.723994
233,1.942000,-0.312258,0.205341,0.007761,-0.033523,0.232988,0.723995
234,1.950000,-0.304913,0.205771,0.009362,-0.033523,0.232989,0.723998
235,1.958000,-0.309436,0.207333,0.016527,-0.033524,0.232987,0.723994
236,1.967000,-0.313100,0.198626,0.013838,-0.033524,0.232986,0.723998
237,1.975000,-0.311699,0.201639,0.015997,-0.033525,0.232988,0.724000
238,1.983000,-0.308639,0.210937,0.012547,-0.033528,0.232987,0.723998
239,1.992000,-0.309352,0.203425,0.019800,-0.033530,0.232989,0.723995
240,2.000000,-0.307382,0.203511,0.017669,-0.033525,0.232989,0.723997
241,2.008000,-0.308422,0.200510,0.018522,-0.033526,0.232990,0.724000
242,2.017000,-0.312999,0.199835,0.017404,-0.033528,0.232988,0.724000
243,2.025000,-0.312538,0.201803,0.015170,-0.033529,0.232991,0.723995
244,2.033000,-0.315388,0.199033,0.014981,-0.033524,0.232989,0.724001
245,2.042000,-0.309783,0.206786,0.020265,-0.033522,0.232988,0.724002
246,2.050000,-0.309122,0.202707,0.014736,-0.033524,0.232985,0.724000
247,2.058000,-0.289001,0.208927,0.034192,-0.033530,0.232974,0.724010
248,2.067000,-0.308571,0.208101,0.014116,-0.033523,0.232984,0.724004
249,2.075000,-0.316256,0.199979,0.015312,-0.033529,0.232987,0.723995
250,2.083000,-0.313549,0.203654,0.016909,-0.033525,0.232989,0.723999
251,2.092000,-0.308549,0.201741,0.020862,-0.033522,0.232989,0.724002
252,2.100000,-0.311289,0.206726,0.025277,-0.033529,0.232986,0.724001
253,2.108000,-0.313016,0.201201,0.015726,-0.033526,0.232987,0.723997
254,2.117000,-0.311825,0.201791,0.016274,-0.033532,0.232991,0.723994
255,2.125000,-0.313377,0.203719,0.016727,-0.033528,0.232992,0.724000
256,2.133000,-0.294653,0.207466,0.035885,-0.033531,0.232980,0.724009
257,2.142000,-0.301650,0.212019,0.024410,-0.033527,0.232983,0.724000
258,2.150000,-0.309920,0.209702,0.019512,-0.033530,0.232995,0.723997
259,2.158000,-0.306356,0.205878,0.015537,-0.033527,0.232989,0.724000
260,2.167000,-0.313778,0.198038,0.009858,-0.033531,0.232996,0.723997
261,2.175000,-0.313114,0.206001,0.014814,-0.033529,0.232987,0.724004
262,2.183000,-0.289176,0.212587,0.033964,-0.033530,0.232973,0.724015
263,2.192000,-0.296880,0.207106,0.019925,-0.033521,0.232983,0.724000
264,2.200000,-0.308202,0.208316,0.022806,-0.033529,0.232988,0.724000
265,2.208000,-0.292162,0.205607,0.036284,-0.033531,0.232976,0.724009
266,2.217000,-0.282889,0.208040,0.030164,-0.033529,0.232970,0.724019
267,2.225000,-0.296998,0.207983,0.019826,-0.033521,0.232982,0.724001
268,2.233000,-0.304906,0.202069,0.007353,-0.033525,0.232989,0.724001
269,2.242000,-0.305538,0.207563,0.014297,-0.033527,0.232987,0.724000
270,2.250000,-0.286627,0.209964,0.034265,-0.033527,0.232973,0.724016
271,2.258000,-0.281650,0.204770,0.034727,-0.033527,0.232968,0.724019
