Format Version,1.23,Take Name,5-6-SID-pitch1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-05-06 08.42.57.977 AM,Capture Start Frame,259605,Total Frames in Take,44511,Total Exported Frames,44511,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone
,ID,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
230,1.917000,-0.233791,0.450012,-1.898283,-0.037773,0.235157,0.723923
231,1.925000,-0.235162,0.445041,-1.903525,-0.037782,0.235159,0.723923
232,1.933000,-0.235456,0.446802,-1.901727,-0.037778,0.235160,0.723926
233,1.942000,-0.240937,0.451128,-1.904753,-0.037776,0.235160,0.723919
234,1.950000,-0.236529,0.447085,-1.904059,-0.037775,0.235155,0.723924
235,1.958000,-0.232790,0.448903,-1.899697,-0.037774,0.235159,0.723924
236,1.967000,-0.236267,0.448240,-1.905084,-0.037781,0.235160,0.723922
237,1.975000,-0.236239,0.452199,-1.903376,-0.037774,0.235158,0.723925
238,1.983000,-0.234305,0.450921,-1.894990,-0.037781,0.235161,0.723919
239,1.992000,-0.237533,0.443196,-1.903342,-0.037780,0.235162,0.723927
240,2.000000,-0.230821,0.447975,-1.901248,-0.037775,0.235157,0.723925
241,2.008000,-0.236704,0.446825,-1.902138,-0.037780,0.235164,0.723921
242,2.017000,-0.235646,0.447307,-1.904507,-0.037782,0.235160,0.723917
243,2.025000,-0.200439,0.472731,-1.883876,-0.037777,0.235131,0.723936
244,2.033000,-0.212600,0.486211,-1.880317,-0.037775,0.235135,0.723928
